"word","gloss","language","dialect","form"
"and"," used to connect two similar words` phrases` et cetera"," Finnish",""," {{t+|fi|-kä}} {{q|in a negative clause; prefixed with [[:Category:Finnish verb negative forms|a negation verb]]}}"
"and"," used at the end of a list to indicate the last item"," Finnish",""," {{t+|fi|ja}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Finnish",""," {{t+|fi|ja}"
"and"," used to string together sentences or sentence fragments in chronological order"," Finnish",""," {{t|fi|[[ja]] [[sitten]]}}"
"and"," used to show causation"," Finnish",""," {{t+|fi|ja}"
"and"," used to show causation"," Finnish",""," {{t|fi|[[ja]] [[sitten]]}}"
"also"," in addition; besides; as well; further; too"," Finnish",""," {{t+|fi|myös}"
"also"," in addition; besides; as well; further; too"," Finnish",""," {{t+|fi|-kin}}"
"every"," all of a countable group"," Finnish",""," {{t+|fi|jokainen}"
"every"," all of a countable group"," Finnish",""," {{t+|fi|joka}"
"every"," all of a countable group"," Finnish",""," {{t|fi|välein}}"
"all_determiner"," every individual of the given class"," Finnish",""," {{t+|fi|kaikki}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Finnish",""," {{t+|fi|koko}}"
"all_adverb"," intensifier"," Finnish",""," {{t+|fi|aivan}"
"all_adverb"," intensifier"," Finnish",""," {{t+|fi|ihan}}"
"all_adverb"," apiece"," Finnish",""," {{t+|fi|tasan}}"
"all_adverb"," so much"," Finnish",""," {{t+|fi|se|alt=sitä}}"
"each_determiner"," every"," Finnish",""," {{t+|fi|jokainen}"
"each_determiner"," every"," Finnish",""," {{t+|fi|kaikki}"
"each_determiner"," every"," Finnish",""," {{t+|fi|kukin}}"
"each_adverb"," apiece"," Finnish",""," {{t+|fi|kappale}"
"each_adverb"," apiece"," Finnish",""," {{t+|fi|kohden}"
"each_adverb"," apiece"," Finnish",""," {{t+|fi|kohti}}"
"any_pronoun"," Any things or persons"," Finnish",""," {{t+|fi|mikä tahansa}}"
"everybody"," all people"," Finnish",""," {{t+|fi|jokainen}"
"everybody"," all people"," Finnish",""," {{t+|fi|kaikki}}"
"everyone"," every person"," Finnish",""," {{t+|fi|jokainen}"
"everyone"," every person"," Finnish",""," {{t+|fi|kaikki}}"
"anybody"," (''colloquial'') a person of consideration or standing"," Finnish",""," {{t+|fi|joku}} {{qualifier|positive}"
"anybody"," (''colloquial'') a person of consideration or standing"," Finnish",""," {{t+|fi|kukaan}} {{qualifier|negative}}"
"whoever"," any person or persons that"," Finnish",""," {{t|fi|kuka tahansa}"
"whoever"," any person or persons that"," Finnish",""," {{t|fi|kuka ikinä}}"
"everything"," all the things"," Finnish",""," {{t+|fi|kaikki}}"
"everything"," many or most things"," Finnish",""," {{t+|fi|kaikki}}{{trans-mid}}"
"everything"," state of well-being"," Finnish",""," {{t+|fi|kaikki}}{{trans-mid}}"
"everything"," the most important thing"," Finnish",""," {{t+|fi|kaikki}}{{trans-mid}}"
"anything_pronoun"," =any thing of any kind"," Finnish",""," {{t+|fi|mikä}"
"anything_pronoun"," =any thing of any kind"," Finnish",""," {{t+|fi|mikä tahansa}}"
"anything_noun"," =someone or something"," Finnish",""," {{t+|fi|mikä tahansa}}"
"whatever_determiner"," for any ... that"," Finnish",""," {{t+|fi|tahansa|alt=minkä tahansa}}"
"whatever_determiner"," "," Finnish",""," {{t+|fi|tahansa|alt=mitä tahansa}"
"whatever_determiner"," "," Finnish",""," {{t|fi|[[mikä]] [[ikinä]]}}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|missä tahansa}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|missä vain}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|missä ikinä}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|mihin tahansa}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|mihin vain}"
"wherever_conjunction"," in any place` anywhere"," Finnish",""," {{t|fi|mihin ikinä}}"
"wherever_conjunction"," in all places` everywhere"," Finnish",""," {{t|fi|missä tahansa}"
"wherever_conjunction"," in all places` everywhere"," Finnish",""," {{t|fi|missä vain}"
"wherever_conjunction"," in all places` everywhere"," Finnish",""," {{t|fi|missä ikinä}}"
"anywhere"," in or at any location"," Finnish",""," {{t|fi|[[missä]] [[tahansa]]}"
"anywhere"," in or at any location"," Finnish",""," {{t+|fi|missään}}"
"everywhere"," at all places"," Finnish",""," {{t+|fi|kaikkialla}}"
"and"," used to connect two similar words` phrases` et cetera"," French",""," {{t+|fr|et}}"
"and"," used at the end of a list to indicate the last item"," French",""," {{t+|fr|et}}"
"and"," used to string together sentences or sentence fragments in chronological order"," French",""," {{t+|fr|et}"
"and"," used to string together sentences or sentence fragments in chronological order"," French",""," {{t|fr|et puis}}"
"also"," in addition; besides; as well; further; too"," French",""," {{t+|fr|aussi}"
"also"," in addition; besides; as well; further; too"," French",""," {{t+|fr|également}}"
"every"," all of a countable group"," French",""," {{t+|fr|tout}"
"every"," all of a countable group"," French",""," {{t+|fr|chaque}}"
"all_determiner"," every individual of the given class"," French",""," {{qualifier|before a countable noun}} {{t+|fr|tous|alt=tous les|m-p}"
"all_determiner"," every individual of the given class"," French",""," {{t+|fr|toutes|alt=toutes les|f-p}}; {{qualifier|before an uncountable noun}} {{t+|fr|tout|alt=tout le|m}"
"all_determiner"," every individual of the given class"," French",""," {{t+|fr|toute|alt=toute la|f}}"
"all_determiner"," throughout the whole of (a stated period of time)"," French",""," {{t+|fr|tout|m|alt=tout le}"
"all_determiner"," throughout the whole of (a stated period of time)"," French",""," {{t+|fr|toute|f|alt=toute la}}"
"all_adverb"," intensifier"," French",""," {{t+|fr|tout|m}"
"all_adverb"," intensifier"," French",""," {{t+|fr|toute|f}"
"all_adverb"," intensifier"," French",""," {{t+|fr|tous|m-p}"
"all_adverb"," intensifier"," French",""," {{t+|fr|toutes|f-p}}"
"each_determiner"," every"," French",""," {{t+|fr|chaque}}"
"each_adverb"," apiece"," French",""," {{t+|fr|chacun}}"
"everybody"," all people"," French",""," {{t+|fr|tout le monde}"
"everybody"," all people"," French",""," {{t+|fr|chacun}"
"everybody"," all people"," French",""," {{t+|fr|tous}}"
"everyone"," every person"," French",""," {{t+|fr|chacun}"
"everyone"," every person"," French",""," {{t+|fr|tout le monde}"
"everyone"," every person"," French",""," {{t+|fr|tous}}"
"anybody"," "," French",""," {{t+check|fr|n’importe qui}} (1"
"anybody"," "," French",""," {{t+check|fr|n’importe qui}} (2` negative only  pas n’importe qui)"
"whoever"," any person or persons that"," French",""," {{t+|fr|quiconque}"
"whoever"," any person or persons that"," French",""," {{t+|fr|qui que ce soit}} qui"
"everything"," all the things"," French",""," {{t+|fr|tout|m}}"
"anything_pronoun"," =any thing of any kind"," French",""," {{t+|fr|n’importe quoi}"
"anything_pronoun"," =any thing of any kind"," French",""," {{qualifier|in negative sentences}} {{t+|fr|rien}}"
"whatever_determiner"," for any ... that"," French",""," {{t+|fr|quel que soit}"
"whatever_determiner"," for any ... that"," French",""," {{t+|fr|n'importe quel|m}"
"whatever_determiner"," for any ... that"," French",""," {{t+|fr|n'importe quelle|f}"
"whatever_determiner"," for any ... that"," French",""," {{t+|fr|peu importe}"
"whatever_determiner"," for any ... that"," French",""," {{t+|fr|tant pis}}"
"whatever_determiner"," "," French",""," {{t+|fr|quoi que}}"
"wherever_conjunction"," in any place` anywhere"," French",""," {{t+|fr|où}"
"wherever_conjunction"," in any place` anywhere"," French",""," {{t+|fr|là où}"
"wherever_conjunction"," in any place` anywhere"," French",""," {{t|fr|quelque part que}"
"wherever_conjunction"," in any place` anywhere"," French",""," {{t+|fr|où que}}"
"wherever_conjunction"," in all places` everywhere"," French",""," {{t|fr|partout où}}"
"wherever_conjunction"," "," French",""," {{qualifier|followed by the subjunctive}} {{t+check|fr|où que}} &lt;!--''wherever you look'' - où que vous regardiez-->{{trans-mid}}"
"anywhere"," in or at any location"," French",""," {{t+|fr|n'importe où}"
"anywhere"," in or at any location"," French",""," {{t|fr|où que ce soit}"
"anywhere"," in or at any location"," French",""," {{t+|fr|nulle part}} {{qualifier|(in a negative sentence}}"
"everywhere"," at all places"," French",""," {{t+|fr|partout}}"
"and"," used to connect two similar words` phrases` et cetera"," Friulian",""," {{t|fur|e}}"
"also"," in addition; besides; as well; further; too"," Friulian",""," {{t|fur|ancje}}"
"all_determiner"," every individual of the given class"," Friulian",""," {{t|fur|dut}}"
"and"," used to connect two similar words` phrases` et cetera"," Galician",""," {{t+|gl|e}}"
"and"," used at the end of a list to indicate the last item"," Galician",""," {{t+|gl|e}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Galician",""," {{t+|gl|e}}"
"also"," in addition; besides; as well; further; too"," Galician",""," {{t|gl|tamén}}"
"every"," all of a countable group"," Galician",""," {{t|gl|toda|f}"
"every"," all of a countable group"," Galician",""," {{t+|gl|todo|m}}"
"all_adverb"," intensifier"," Galician",""," {{t+|gl|todo}}"
"each_determiner"," every"," Galician",""," {{t|gl|cada}}"
"everyone"," every person"," Galician",""," {{t|gl|todos|m-p}"
"everyone"," every person"," Galician",""," {{t|gl|cada quen}}"
"everything"," all the things"," Galician",""," {{t+|gl|todo|m}}"
"anything_pronoun"," =any thing of any kind"," Galician",""," {{t|gl|calquera cousa}}"
"wherever_conjunction"," in any place` anywhere"," Galician",""," {{t+|gl|nalgures}}"
"wherever_conjunction"," in all places` everywhere"," Galician",""," {{t|gl|xalundes}}"
"anywhere"," in or at any location"," Galician",""," {{t|gl|xalundes}"
"anywhere"," in or at any location"," Galician",""," {{t|gl|algures}}"
"anywhere"," to any location"," Galician",""," {{t|gl|xalundes}"
"anywhere"," to any location"," Galician",""," {{t|gl|algures}}"
"everywhere"," at all places"," Galician",""," {{t|gl|xalundes}}"
"also"," in addition; besides; as well; further; too"," Gallurese",""," {{t|sdn|sina}"
"also"," in addition; besides; as well; further; too"," Gallurese",""," {{t|sdn|puru}}"
"and"," used to connect two similar words` phrases` et cetera"," Georgian",""," {{t+|ka|და}}"
"also"," in addition; besides; as well; further; too"," Georgian",""," {{t+|ka|აგრეთვე}"
"also"," in addition; besides; as well; further; too"," Georgian",""," {{t|ka|დამატებით}"
"also"," in addition; besides; as well; further; too"," Georgian",""," {{t+|ka|ასევე}"
"also"," in addition; besides; as well; further; too"," Georgian",""," {{t|ka|-ც}}"
"every"," all of a countable group"," Georgian",""," {{t|ka|ყველა}"
"every"," all of a countable group"," Georgian",""," {{t|ka|ყოველი}}"
"all_determiner"," every individual of the given class"," Georgian",""," {{t|ka|ყველა}"
"all_determiner"," every individual of the given class"," Georgian",""," {{t|ka|თითოეული}}"
"each_determiner"," every"," Georgian",""," {{t|ka|ყოველი}"
"each_determiner"," every"," Georgian",""," {{t|ka|თითოეული}}"
"any_pronoun"," Any things or persons"," Georgian",""," {{t|ka|ნებისმიერი}}"
"everybody"," all people"," Georgian",""," {{t|ka|ყველა}}"
"everyone"," every person"," Georgian",""," {{t|ka|ყველა|sc=Geor}"
"everyone"," every person"," Georgian",""," {{t|ka|ყოველი|sc=Geor}"
"everyone"," every person"," Georgian",""," {{t|ka|თითოეული|sc=Geor}}"
"everything"," all the things"," Georgian",""," {{t|ka|ყველაფერი}}"
"anything_pronoun"," =any thing of any kind"," Georgian",""," {{t|ka|ნებისმიერი რამ}}"
"anywhere"," in or at any location"," Georgian",""," {{t|ka|ნებისმიერ ადგილას}"
"anywhere"," in or at any location"," Georgian",""," {{t|ka|ნებისმიერ ადგილზე}"
"anywhere"," in or at any location"," Georgian",""," {{t+|ka|ყველგან}"
"anywhere"," in or at any location"," Georgian",""," {{t|ka|სადაც არ უნდა იყოს}"
"anywhere"," in or at any location"," Georgian",""," {{t|ka|ნებისმიერგან}} {{qualifier|colloquial}}"
"everywhere"," at all places"," Georgian",""," {{t+|ka|ყველგან}"
"everywhere"," at all places"," Georgian",""," {{t|ka|ყოველგან}}"
"and"," used to connect two similar words` phrases` et cetera"," German",""," {{t+|de|und}}"
"and"," used at the end of a list to indicate the last item"," German",""," {{t+|de|und}}"
"and"," used to string together sentences or sentence fragments in chronological order"," German",""," {{t+|de|und}}"
"also"," in addition; besides; as well; further; too"," German",""," {{t+|de|auch}}"
"every"," all of a countable group"," German",""," {{t+|de|jeder}}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|all}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|alle}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|jeder|m}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|jede|f}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|jedes|n}"
"all_determiner"," every individual of the given class"," German",""," {{t+|de|jede|p}}"
"all_determiner"," throughout the whole of (a stated period of time)"," German",""," {{t+|de|ganz}}"
"all_adverb"," intensifier"," German",""," {{t+|de|völlig}"
"all_adverb"," intensifier"," German",""," {{t+|de|vollkommen}"
"all_adverb"," intensifier"," German",""," {{t+|de|ganz}"
"all_adverb"," intensifier"," German",""," {{t+|de|total}}"
"all_adverb"," apiece"," German",""," {{t|de|pro Stück}}"
"each_determiner"," every"," German",""," {{t+|de|alle}"
"each_determiner"," every"," German",""," {{t+|de|jeder}}"
"each_adverb"," apiece"," German",""," {{t+|de|jeweils}}"
"any_pronoun"," Any things or persons"," German",""," {{t+|de|jeder|m}}"
"everybody"," all people"," German",""," {{t+|de|alle|p}"
"everybody"," all people"," German",""," {{t+|de|jedermann}"
"everybody"," all people"," German",""," {{t+|de|jeder}}"
"everyone"," every person"," German",""," {{t+|de|alle}"
"everyone"," every person"," German",""," {{t+|de|jedermann}"
"everyone"," every person"," German",""," {{t+|de|jeder}}"
"anybody"," (''colloquial'') a person of consideration or standing"," German",""," {{t+|de|jemand}"
"anybody"," (''colloquial'') a person of consideration or standing"," German",""," {{t+|de|wer}} {{qualifier|colloquial}}"
"whoever"," any person or persons that"," German",""," {{t|de|wer immer}"
"whoever"," any person or persons that"," German",""," {{t|de|wer auch immer}}"
"everything"," all the things"," German",""," {{t+|de|alles|n}}"
"anything_pronoun"," =any thing of any kind"," German",""," {{t+|de|irgendetwas}"
"anything_pronoun"," =any thing of any kind"," German",""," {{t+|de|irgendwas}}"
"whatever_determiner"," for any ... that"," German",""," {{t|de|Jacke wie Hose}}"
"whatever_determiner"," "," German",""," {{t|de|was immer}"
"whatever_determiner"," "," German",""," {{t|de|was auch immer}}"
"wherever_conjunction"," in any place` anywhere"," German",""," {{t|de|wo auch immer}"
"wherever_conjunction"," in any place` anywhere"," German",""," {{t|de|wo immer}}"
"anywhere"," in or at any location"," German",""," {{t+|de|überall}"
"anywhere"," in or at any location"," German",""," {{t+|de|irgendwo}}"
"everywhere"," at all places"," German",""," {{t+|de|überall}}"
"also"," in addition; besides; as well; further; too"," German"," Alemannic German"," {{t|gsw|au}}"
"every"," all of a countable group"," German"," Pennsylvania German"," {{t|pdc|jeder}}"
"everything"," all the things"," German"," Silesian"," {{t|gmw-ecg|olles|n}} ({{t|gmw-ecg|Olles}"
"everything"," all the things"," German"," Silesian"," {{t|gmw-ecg|Alles}})"
"and"," used to connect two similar words` phrases` et cetera"," Gothic",""," {{t|got|𐌾𐌰𐌷}"
"and"," used to connect two similar words` phrases` et cetera"," Gothic",""," {{t|got|-𐌿𐌷}}"
"also"," in addition; besides; as well; further; too"," Gothic",""," {{t|got|𐌾𐌰𐌷}"
"also"," in addition; besides; as well; further; too"," Gothic",""," {{t|got|𐌰𐌿𐌺}}"
"all_determiner"," every individual of the given class"," Gothic",""," {{t|got|𐌰𐌻𐌻𐍃}}"
"all_determiner"," "," Gothic",""," {{t-check|got|𐌰𐌻𐌻𐍃}}"
"anything_pronoun"," =any thing of any kind"," Gothic",""," {{t|got|𐌰𐌹𐌽𐍃𐌷𐌿𐌽}}"
"and"," used to connect two similar words` phrases` et cetera"," Greek",""," {{qualifier|preconsonantal}} {{t+|el|και}"
"and"," used to connect two similar words` phrases` et cetera"," Greek",""," {{qualifier|prevocalic}} {{t+|el|κι}"
"and"," used to connect two similar words` phrases` et cetera"," Greek",""," {{q|ligature}} {{t|el|ϗ}}"
"and"," used at the end of a list to indicate the last item"," Greek",""," {{t+|el|και}}"
"also"," in addition; besides; as well; further; too"," Greek",""," {{t+|el|επίσης}}"
"every"," all of a countable group"," Greek",""," {{t+|el|κάθε}}"
"all_determiner"," every individual of the given class"," Greek",""," {{t+|el|όλοι|m-p}"
"all_determiner"," every individual of the given class"," Greek",""," {{t+|el|όλες|f-p}"
"all_determiner"," every individual of the given class"," Greek",""," {{t+|el|όλα|n-p}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Greek",""," {{t+|el|όλο|m|n}"
"all_determiner"," throughout the whole of (a stated period of time)"," Greek",""," {{t+|el|όλη|f}}"
"all_adverb"," intensifier"," Greek",""," {{t+|el|εντελώς}}"
"all_adverb"," apiece"," Greek",""," {{t+|el|όλα|n-p}}{{trans-mid}}"
"each_determiner"," every"," Greek",""," {{t+|el|έκαστος|s}"
"each_determiner"," every"," Greek",""," {{t+|el|κάθε}"
"each_determiner"," every"," Greek",""," {{t|el|κάθε ένας}"
"each_determiner"," every"," Greek",""," {{t+|el|καθένας}}"
"everybody"," all people"," Greek",""," {{t+|el|όλοι|m-p}"
"everybody"," all people"," Greek",""," {{t|el|οι πάντες|m-p}}"
"everyone"," every person"," Greek",""," {{t|el|κάθε ένας}"
"everyone"," every person"," Greek",""," {{t+|el|όλοι|p}"
"everyone"," every person"," Greek",""," {{t|el|άπαντες|p}"
"everyone"," every person"," Greek",""," {{t|el|οι πάντες|p}}"
"whoever"," any person or persons that"," Greek",""," {{t+|el|όποιος}}"
"everything"," all the things"," Greek",""," {{t+|el|όλα|n-p}"
"everything"," all the things"," Greek",""," {{t|el|τα πάντα|n-p}}"
"everything"," many or most things"," Greek",""," {{t|el|η πλειονότητα|f}}"
"anything_pronoun"," =any thing of any kind"," Greek",""," {{t+|el|οτιδήποτε|n}"
"anything_pronoun"," =any thing of any kind"," Greek",""," {{t+|el|ό`τι}}"
"anything_noun"," =someone or something"," Greek",""," {{t+|el|οτιδήποτε}}"
"whatever_determiner"," for any ... that"," Greek",""," {{t+|el|ό`τι}"
"whatever_determiner"," for any ... that"," Greek",""," {{t+|el|οτιδήποτε}}"
"whatever_determiner"," "," Greek",""," {{t+|el|ό`τι}}"
"wherever_conjunction"," in any place` anywhere"," Greek",""," {{t+|el|οπουδήποτε|sc=Grek}}"
"wherever_conjunction"," in all places` everywhere"," Greek",""," {{t+|el|οπουδήποτε|sc=Grek}}"
"anywhere"," in or at any location"," Greek",""," {{t+|el|οπουδήποτε}"
"anywhere"," in or at any location"," Greek",""," {{t+|el|πουθενά}}"
"everywhere"," at all places"," Greek",""," {{t+|el|παντού}}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Ancient"," {{t|grc|καί}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Ancient"," {{t|grc|τε}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Ancient"," {{t|grc|τε καί}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Ancient"," {{t|grc|δέ}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Ancient"," {{t|grc|ἠδέ}}"
"also"," in addition; besides; as well; further; too"," Greek"," Ancient"," {{t|grc|καί}}"
"every"," all of a countable group"," Greek"," Ancient"," {{t|grc|ἕκαστος|sc=polytonic}}"
"all_determiner"," every individual of the given class"," Greek"," Ancient"," {{t|grc|πᾶς|m}"
"all_determiner"," every individual of the given class"," Greek"," Ancient"," {{t|grc|πᾶσα|f}"
"all_determiner"," every individual of the given class"," Greek"," Ancient"," {{t|grc|πᾶν|n}}; {{qual|emphatic}} {{t|grc|ἅπᾱς|m}"
"all_determiner"," every individual of the given class"," Greek"," Ancient"," {{t|grc|ἅπᾱσα|f}"
"all_determiner"," every individual of the given class"," Greek"," Ancient"," {{t|grc|ἅπαν|n}}"
"each_determiner"," every"," Greek"," Ancient"," {{t|grc|ἕκαστος|sc=polytonic}}"
"everybody"," all people"," Greek"," Ancient"," {{t|grc|πᾶς|alt=πάντες|m-p}}"
"everyone"," every person"," Greek"," Ancient"," {{t|grc|[[πᾶς|πάντες]]|m-p}}"
"whoever"," any person or persons that"," Greek"," Ancient"," {{t|grc|ὅστις}"
"whoever"," any person or persons that"," Greek"," Ancient"," {{t|grc|ὁστισοῦν}}"
"everything"," all the things"," Greek"," Ancient"," {{t|grc|πάντα|n-p}}"
"whatever_determiner"," for any ... that"," Greek"," Ancient"," {{t|grc|[[ὅ`τι]]}}"
"everywhere"," at all places"," Greek"," Ancient"," {{t|grc|πανταχοῦ}}"
"and"," used to connect two similar words` phrases` et cetera"," Greek"," Mycenaean"," {{t|gmy|𐀤}}"
"and"," used to connect two similar words` phrases` et cetera"," Greenlandic",""," {{t|kl|aamma}}"
"and"," used to connect two similar words` phrases` et cetera"," Guaraní",""," {{t+|gn|ha}}"
"every"," all of a countable group"," Guaraní",""," {{t|gn|mayma}}"
"all_determiner"," every individual of the given class"," Guaraní",""," {{t|gn|mayma}}"
"all_determiner"," "," Guaraní",""," {{t-check|gn|opa}}"
"each_determiner"," every"," Guaraní",""," {{t|gn|peteĩteĩ}}"
"anything_noun"," =someone or something"," Guerrero Amuzgo",""," {{t|amu|makjo}}"
"and"," used to connect two similar words` phrases` et cetera"," Gujarati",""," {{t+|gu|અને}}"
"all_determiner"," "," Gujarati",""," {{t-check|gu|બધું}"
"all_determiner"," "," Gujarati",""," {{t-check|gu|બધા}}"
"everyone"," every person"," Gujarati",""," {{t|gu|બધા}}"
"everywhere"," at all places"," Gujarati",""," {{t|gu|બધે}}"
"and"," used to connect two similar words` phrases` et cetera"," Haitian Creole",""," {{t|ht|ak}}"
"every"," all of a countable group"," Haitian Creole",""," {{t|ht|tout}"
"every"," all of a countable group"," Haitian Creole",""," {{t|ht|chak}}"
"each_determiner"," every"," Haitian Creole",""," {{t|ht|chak}}"
"everywhere"," at all places"," Haitian Creole",""," {{t|ht|toupatou}}"
"and"," used to connect two similar words` phrases` et cetera"," Hausa",""," {{t|ha|dà}}"
"and"," used to connect two similar words` phrases` et cetera"," Hawaiian",""," {{t|haw|ame}"
"and"," used to connect two similar words` phrases` et cetera"," Hawaiian",""," {{t|haw|a}"
"and"," used to connect two similar words` phrases` et cetera"," Hawaiian",""," {{t|haw|a me}}"
"all_determiner"," every individual of the given class"," Hawaiian",""," {{t|haw|a pau}}"
"and"," used to connect two similar words` phrases` et cetera"," Hebrew",""," {{t+|he|וְ־|tr=ve}}"
"and"," used at the end of a list to indicate the last item"," Hebrew",""," {{t+|he|וְ־|tr=v'-}}"
"also"," in addition; besides; as well; further; too"," Hebrew",""," {{t+|he|גַּם|tr=gam}}"
"every"," all of a countable group"," Hebrew",""," {{t+|he|כל|tr=kol}}"
"all_determiner"," every individual of the given class"," Hebrew",""," {{t+|he|כֹּל|tr=kol}}"
"all_adverb"," intensifier"," Hebrew",""," {{t+|he|לגמרי|m|f|tr=legamrei|sc=Hebr}}"
"all_adverb"," apiece"," Hebrew",""," {{t+|he|כל|tr=kol|sc=Hebr}}"
"everybody"," all people"," Hebrew",""," {{t|he|כולם|tr=kulám|sc=Hebr}"
"everybody"," all people"," Hebrew",""," {{t|he|כולם|tr=kulám|alt=כֻּלָּם|sc=Hebr}}"
"everyone"," every person"," Hebrew",""," {{t|he|כולם|alt=כולם \ כֻּלָּם|tr=kulám|sc=Hebr}}"
"everything"," all the things"," Hebrew",""," {{t+|he|הכל|tr=hachol}}"
"and"," used to connect two similar words` phrases` et cetera"," Hebrew"," Ancient"," {{t+|he|וְ־|tr=wə}}"
"and"," used to connect two similar words` phrases` et cetera"," Hiligaynon",""," {{t|hil|kag}}"
"all_determiner"," every individual of the given class"," Hiligaynon",""," {{t|hil|tanan}}"
"and"," used to connect two similar words` phrases` et cetera"," Hindi",""," {{t+|hi|और}"
"and"," used to connect two similar words` phrases` et cetera"," Hindi",""," {{t+|hi|एवं}"
"and"," used to connect two similar words` phrases` et cetera"," Hindi",""," {{t+|hi|व}"
"and"," used to connect two similar words` phrases` et cetera"," Hindi",""," {{t+|hi|तथा}"
"and"," used to connect two similar words` phrases` et cetera"," Hindi",""," {{t+|hi|ओ}}"
"and"," used at the end of a list to indicate the last item"," Hindi",""," {{t+|hi|और}"
"and"," used at the end of a list to indicate the last item"," Hindi",""," {{t+|hi|एवं}"
"and"," used at the end of a list to indicate the last item"," Hindi",""," {{t+|hi|व}"
"and"," used at the end of a list to indicate the last item"," Hindi",""," {{t+|hi|अलावा}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Hindi",""," {{t+|hi|तो}"
"and"," used to string together sentences or sentence fragments in chronological order"," Hindi",""," {{t+|hi|ओ}"
"and"," used to string together sentences or sentence fragments in chronological order"," Hindi",""," {{t+|hi|फिर}"
"and"," used to string together sentences or sentence fragments in chronological order"," Hindi",""," {{t+|hi|तथा}}"
"and"," used to show causation"," Hindi",""," {{t+|hi|और}}"
"also"," in addition; besides; as well; further; too"," Hindi",""," {{t+|hi|भी}}"
"every"," all of a countable group"," Hindi",""," {{t+|hi|हर}}"
"all_determiner"," every individual of the given class"," Hindi",""," {{t+|hi|सब}"
"all_determiner"," every individual of the given class"," Hindi",""," {{t+|hi|सारा}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Hindi",""," {{t+|hi|सारा}}&lt;!--Ref- Oxford Hindi-English dict.-->"
"each_determiner"," every"," Hindi",""," {{t+|hi|हर}"
"each_determiner"," every"," Hindi",""," {{t|hi|एक-एक}}"
"everybody"," all people"," Hindi",""," {{t|hi|सब लोग}"
"everybody"," all people"," Hindi",""," {{t+|hi|सब}}"
"everyone"," every person"," Hindi",""," {{t|hi|[[सब]] [[लोग]]}}"
"everything"," all the things"," Hindi",""," {{t|hi|सब कुछ}"
"everything"," all the things"," Hindi",""," {{t+|hi|सब}}"
"and"," used to connect two similar words` phrases` et cetera"," Hungarian",""," {{t+|hu|és}}"
"and"," used at the end of a list to indicate the last item"," Hungarian",""," {{t+|hu|és}}"
"and"," used to string together sentences or sentence fragments in chronological order"," Hungarian",""," {{t+|hu|és}}"
"and"," used to show causation"," Hungarian",""," {{t+|hu|és}}"
"also"," in addition; besides; as well; further; too"," Hungarian",""," {{t+|hu|szintén}"
"also"," in addition; besides; as well; further; too"," Hungarian",""," {{t+|hu|is}"
"also"," in addition; besides; as well; further; too"," Hungarian",""," {{t+|hu|ugyancsak}}"
"every"," all of a countable group"," Hungarian",""," {{t+|hu|minden}}"
"all_determiner"," every individual of the given class"," Hungarian",""," {{t+|hu|minden}"
"all_determiner"," every individual of the given class"," Hungarian",""," {{t+|hu|valamennyi}"
"all_determiner"," every individual of the given class"," Hungarian",""," {{t+|hu|összes}}"
"all_determiner"," throughout the whole of (a stated period of time)"," Hungarian",""," {{t+|hu|egész}}"
"each_determiner"," every"," Hungarian",""," {{t+|hu|minden}"
"each_determiner"," every"," Hungarian",""," {{t+|hu|mindegyik}"
"each_determiner"," every"," Hungarian",""," {{t|hu|minden egyes}}"
"each_adverb"," apiece"," Hungarian",""," {{q|for each` piecemeal}} {{t+|hu|egyenként}"
"each_adverb"," apiece"," Hungarian",""," {{t+|hu|darabonként}}; {{q|per}} {{t|hu|-nként}}/{{t|hu|-enként}}/{{t|hu|-onként}}/{{t|hu|-anként}}/{{t|hu|-önként}}"
"everybody"," all people"," Hungarian",""," {{t+|hu|mindenki}}"
"everyone"," every person"," Hungarian",""," {{t+|hu|mindenki}"
"everyone"," every person"," Hungarian",""," {{t+|hu|mind}} {{q|referring to previously mentioned group}}"
"whoever"," any person or persons that"," Hungarian",""," {{t+|hu|akárki}"
"whoever"," any person or persons that"," Hungarian",""," {{t+|hu|bárki}}{{trans-mid}}"
