Rank,1-2-3,N,%,2-3-4,N,%,3-4-5,N,%
389, ato,6,(0.06713), asp,6,(0.06713), tto,7,(0.07832)
390, bai,6,(0.06713), aud,6,(0.06713), uks,7,(0.07832)
391, bid,6,(0.06713), aug,6,(0.06713), wan,7,(0.07832)
392, bit,6,(0.06713), aya,6,(0.06713), wel,7,(0.07832)
393, bog,6,(0.06713), ayo,6,(0.06713), aft,6,(0.06713)
394, bos,6,(0.06713), eam,6,(0.06713), aly,6,(0.06713)
395, cab,6,(0.06713), eap,6,(0.06713), amy,6,(0.06713)
396, cer,6,(0.06713), ech,6,(0.06713), ana,6,(0.06713)
397, coc,6,(0.06713), eda,6,(0.06713), ark,6,(0.06713)
398, dat,6,(0.06713), ega,6,(0.06713), bit,6,(0.06713)
399, dee,6,(0.06713), egu,6,(0.06713), bos,6,(0.06713)
400, der,6,(0.06713), ema,6,(0.06713), chs,6,(0.06713)
401, dis,6,(0.06713), emo,6,(0.06713), cko,6,(0.06713)
402, dog,6,(0.06713), epo,6,(0.06713), cos,6,(0.06713)
403, doo,6,(0.06713), erb,6,(0.06713), dic,6,(0.06713)
404, fac,6,(0.06713), erc,6,(0.06713), dly,6,(0.06713)
405, fad,6,(0.06713), erd,6,(0.06713), eck,6,(0.06713)
406, fau,6,(0.06713), ert,6,(0.06713), ene,6,(0.06713)
407, fel,6,(0.06713), erv,6,(0.06713), ept,6,(0.06713)
408, fug,6,(0.06713), eso,6,(0.06713), ghs,6,(0.06713)
409, fur,6,(0.06713), eti,6,(0.06713), gie,6,(0.06713)
410, gua,6,(0.06713), etr,6,(0.06713), gos,6,(0.06713)
411, gyr,6,(0.06713), gle,6,(0.06713), ial,6,(0.06713)
412, hem,6,(0.06713), ham,6,(0.06713), ilt,6,(0.06713)
413, hom,6,(0.06713), hap,6,(0.06713), ire,6,(0.06713)
414, how,6,(0.06713), haw,6,(0.06713), ken,6,(0.06713)
415, hur,6,(0.06713), hel,6,(0.06713), ley,6,(0.06713)
416, ind,6,(0.06713), hic,6,(0.06713), lle,6,(0.06713)
417, kar,6,(0.06713), hol,6,(0.06713), lva,6,(0.06713)
418, kel,6,(0.06713), hon,6,(0.06713), mal,6,(0.06713)
419, kha,6,(0.06713), hum,6,(0.06713), mix,6,(0.06713)
420, kil,6,(0.06713), hut,6,(0.06713), nne,6,(0.06713)
421, kit,6,(0.06713), ial,6,(0.06713), non,6,(0.06713)
422, kna,6,(0.06713), ibb,6,(0.06713), nor,6,(0.06713)
423, kne,6,(0.06713), ica,6,(0.06713), nte,6,(0.06713)
424, las,6,(0.06713), idd,6,(0.06713), oat,6,(0.06713)
425, len,6,(0.06713), igo,6,(0.06713), oes,6,(0.06713)
426, lit,6,(0.06713), ild,6,(0.06713), oey,6,(0.06713)
427, liv,6,(0.06713), ilo,6,(0.06713), oon,6,(0.06713)
428, loc,6,(0.06713), iro,6,(0.06713), oot,6,(0.06713)
429, lor,6,(0.06713), irr,6,(0.06713), orn,6,(0.06713)
430, mes,6,(0.06713), isc,6,(0.06713), ost,6,(0.06713)
431, mos,6,(0.06713), iva,6,(0.06713), our,6,(0.06713)
432, mut,6,(0.06713), lad,6,(0.06713), oze,6,(0.06713)
433, nai,6,(0.06713), law,6,(0.06713), pel,6,(0.06713)
434, new,6,(0.06713), lia,6,(0.06713), pid,6,(0.06713)
435, nom,6,(0.06713), log,6,(0.06713), pin,6,(0.06713)
436, not,6,(0.06713), lur,6,(0.06713), ply,6,(0.06713)
437, out,6,(0.06713), mid,6,(0.06713), que,6,(0.06713)
438, pap,6,(0.06713), oad,6,(0.06713), ram,6,(0.06713)
439, pet,6,(0.06713), obo,6,(0.06713), ran,6,(0.06713)
440, pho,6,(0.06713), oca,6,(0.06713), rat,6,(0.06713)
441, pic,6,(0.06713), oda,6,(0.06713), ray,6,(0.06713)
442, pip,6,(0.06713), off,6,(0.06713), rgo,6,(0.06713)
443, pit,6,(0.06713), oft,6,(0.06713), rny,6,(0.06713)
444, pos,6,(0.06713), oga,6,(0.06713), rra,6,(0.06713)
445, pup,6,(0.06713), olk,6,(0.06713), son,6,(0.06713)
446, rak,6,(0.06713), omi,6,(0.06713), sso,6,(0.06713)
447, rav,6,(0.06713), omm,6,(0.06713), tel,6,(0.06713)
448, rei,6,(0.06713), omp,6,(0.06713), thy,6,(0.06713)
449, rem,6,(0.06713), ont,6,(0.06713), tin,6,(0.06713)
450, rew,6,(0.06713), opp,6,(0.06713), tly,6,(0.06713)
451, riv,6,(0.06713), org,6,(0.06713), tor,6,(0.06713)
452, roa,6,(0.06713), orr,6,(0.06713), tus,6,(0.06713)
453, run,6,(0.06713), ouc,6,(0.06713), ude,6,(0.06713)
454, sag,6,(0.06713), pic,6,(0.06713), uld,6,(0.06713)
455, sep,6,(0.06713), pin,6,(0.06713), urn,6,(0.06713)
456, sir,6,(0.06713), ray,6,(0.06713), uth,6,(0.06713)
457, sle,6,(0.06713), rig,6,(0.06713), vil,6,(0.06713)
458, sme,6,(0.06713), rio,6,(0.06713), vin,6,(0.06713)
459, smo,6,(0.06713), roa,6,(0.06713), wie,6,(0.06713)
460, sne,6,(0.06713), roc,6,(0.06713), xie,6,(0.06713)
461, tap,6,(0.06713), roi,6,(0.06713), zen,6,(0.06713)
462, tow,6,(0.06713), rom,6,(0.06713), zer,6,(0.06713)
463, var,6,(0.06713), rop,6,(0.06713), aff,5,(0.05594)
464, vis,6,(0.06713), ubi,6,(0.06713), air,5,(0.05594)
465, wea,6,(0.06713), uga,6,(0.06713), ait,5,(0.05594)
466, wel,6,(0.06713), uge,6,(0.06713), all,5,(0.05594)
467, wid,6,(0.06713), ulk,6,(0.06713), ama,5,(0.05594)
468, yog,6,(0.06713), umb,6,(0.06713), ame,5,(0.05594)
469, zon,6,(0.06713), una,6,(0.06713), ano,5,(0.05594)
470, zoo,6,(0.06713), upp,6,(0.06713), arf,5,(0.05594)
471, air,5,(0.05594), urg,6,(0.06713), awl,5,(0.05594)
472, amb,5,(0.05594), urk,6,(0.06713), bal,5,(0.05594)
473, ame,5,(0.05594), ver,6,(0.06713), bia,5,(0.05594)
474, amo,5,(0.05594), ype,6,(0.06713), bid,5,(0.05594)
475, ann,5,(0.05594), abb,5,(0.05594), chy,5,(0.05594)
476, ask,5,(0.05594), abu,5,(0.05594), con,5,(0.05594)
477, awa,5,(0.05594), aca,5,(0.05594), cts,5,(0.05594)
478, azo,5,(0.05594), ada,5,(0.05594), das,5,(0.05594)
479, bes,5,(0.05594), adl,5,(0.05594), den,5,(0.05594)
480, bet,5,(0.05594), afi,5,(0.05594), dle,5,(0.05594)
481, big,5,(0.05594), aga,5,(0.05594), edy,5,(0.05594)
482, boa,5,(0.05594), agu,5,(0.05594), eel,5,(0.05594)
483, bot,5,(0.05594), aid,5,(0.05594), eld,5,(0.05594)
484, bow,5,(0.05594), als,5,(0.05594), fed,5,(0.05594)
485, cav,5,(0.05594), asa,5,(0.05594), fes,5,(0.05594)
486, ced,5,(0.05594), ask,5,(0.05594), gey,5,(0.05594)
487, civ,5,(0.05594), ato,5,(0.05594), gin,5,(0.05594)
488, cob,5,(0.05594), aur,5,(0.05594), gon,5,(0.05594)
489, coi,5,(0.05594), aut,5,(0.05594), gum,5,(0.05594)
490, cus,5,(0.05594), avo,5,(0.05594), hed,5,(0.05594)
491, cym,5,(0.05594), awk,5,(0.05594), her,5,(0.05594)
492, dam,5,(0.05594), awl,5,(0.05594), ics,5,(0.05594)
493, dau,5,(0.05594), azo,5,(0.05594), iel,5,(0.05594)
494, daw,5,(0.05594), cal,5,(0.05594), ift,5,(0.05594)
495, den,5,(0.05594), che,5,(0.05594), igh,5,(0.05594)
496, dob,5,(0.05594), cre,5,(0.05594), ign,5,(0.05594)
497, dop,5,(0.05594), eba,5,(0.05594), imp,5,(0.05594)
498, dot,5,(0.05594), ect,5,(0.05594), ios,5,(0.05594)
499, ear,5,(0.05594), eef,5,(0.05594), ipt,5,(0.05594)
500, emb,5,(0.05594), efe,5,(0.05594), ird,5,(0.05594)
501, exi,5,(0.05594), efi,5,(0.05594), irk,5,(0.05594)
502, fai,5,(0.05594), eft,5,(0.05594), irl,5,(0.05594)
503, fak,5,(0.05594), ege,5,(0.05594), irt,5,(0.05594)
504, fea,5,(0.05594), eif,5,(0.05594), ish,5,(0.05594)
505, fic,5,(0.05594), eil,5,(0.05594), iss,5,(0.05594)
506, fif,5,(0.05594), eld,5,(0.05594), ity,5,(0.05594)
507, fuz,5,(0.05594), emm,5,(0.05594), kas,5,(0.05594)
508, gad,5,(0.05594), eng,5,(0.05594), kis,5,(0.05594)
509, gan,5,(0.05594), enu,5,(0.05594), lan,5,(0.05594)
510, gaz,5,(0.05594), eon,5,(0.05594), lia,5,(0.05594)
511, gus,5,(0.05594), epe,5,(0.05594), lid,5,(0.05594)
512, had,5,(0.05594), epi,5,(0.05594), lis,5,(0.05594)
513, hau,5,(0.05594), erg,5,(0.05594), mba,5,(0.05594)
514, haz,5,(0.05594), ers,5,(0.05594), mit,5,(0.05594)
515, hen,5,(0.05594), etc,5,(0.05594), mph,5,(0.05594)
516, hex,5,(0.05594), eth,5,(0.05594), mus,5,(0.05594)
517, hin,5,(0.05594), ewi,5,(0.05594), nar,5,(0.05594)
518, hok,5,(0.05594), had,5,(0.05594), ndo,5,(0.05594)
519, hul,5,(0.05594), hak,5,(0.05594), nia,5,(0.05594)
520, hyp,5,(0.05594), her,5,(0.05594), nin,5,(0.05594)
521, imi,5,(0.05594), het,5,(0.05594), nta,5,(0.05594)
522, jun,5,(0.05594), him,5,(0.05594), och,5,(0.05594)
523, kap,5,(0.05594), hit,5,(0.05594), oll,5,(0.05594)
524, ken,5,(0.05594), hiv,5,(0.05594), omp,5,(0.05594)
525, ker,5,(0.05594), hos,5,(0.05594), omy,5,(0.05594)
526, kib,5,(0.05594), how,5,(0.05594), ood,5,(0.05594)
527, kor,5,(0.05594), hyl,5,(0.05594), oof,5,(0.05594)
528, lac,5,(0.05594), hym,5,(0.05594), ool,5,(0.05594)
529, lad,5,(0.05594), iar,5,(0.05594), oom,5,(0.05594)
530, lan,5,(0.05594), ido,5,(0.05594), pen,5,(0.05594)
531, lee,5,(0.05594), iel,5,(0.05594), pon,5,(0.05594)
532, leg,5,(0.05594), iga,5,(0.05594), ppa,5,(0.05594)
533, lev,5,(0.05594), igg,5,(0.05594), ret,5,(0.05594)
534, lia,5,(0.05594), igi,5,(0.05594), rex,5,(0.05594)
535, lie,5,(0.05594), ilk,5,(0.05594), rid,5,(0.05594)
536, lob,5,(0.05594), irk,5,(0.05594), rin,5,(0.05594)
537, low,5,(0.05594), irn,5,(0.05594), rip,5,(0.05594)
538, luc,5,(0.05594), iss,5,(0.05594), rle,5,(0.05594)
539, lys,5,(0.05594), itr,5,(0.05594), rsh,5,(0.05594)
540, mag,5,(0.05594), ivi,5,(0.05594), rta,5,(0.05594)
541, mau,5,(0.05594), kee,5,(0.05594), sel,5,(0.05594)
542, mic,5,(0.05594), lay,5,(0.05594), sis,5,(0.05594)
543, mim,5,(0.05594), leb,5,(0.05594), tan,5,(0.05594)
544, mit,5,(0.05594), loa,5,(0.05594), tar,5,(0.05594)
545, mod,5,(0.05594), loc,5,(0.05594), ten,5,(0.05594)
546, nap,5,(0.05594), los,5,(0.05594), tra,5,(0.05594)
547, nav,5,(0.05594), men,5,(0.05594), tup,5,(0.05594)
548, nic,5,(0.05594), min,5,(0.05594), uce,5,(0.05594)
549, nin,5,(0.05594), mit,5,(0.05594), ull,5,(0.05594)
550, noi,5,(0.05594), nde,5,(0.05594), upe,5,(0.05594)
551, non,5,(0.05594), nit,5,(0.05594), ust,5,(0.05594)
552, nud,5,(0.05594), noo,5,(0.05594), vet,5,(0.05594)
553, oct,5,(0.05594), now,5,(0.05594), wks,5,(0.05594)
554, pad,5,(0.05594), nse,5,(0.05594), wny,5,(0.05594)
555, pag,5,(0.05594), nur,5,(0.05594), wse,5,(0.05594)
556, paw,5,(0.05594), oac,5,(0.05594), yle,5,(0.05594)
557, pes,5,(0.05594), oam,5,(0.05594), yls,5,(0.05594)
558, pik,5,(0.05594), obe,5,(0.05594), afs,4,(0.04475)
559, pli,5,(0.05594), obl,5,(0.05594), ald,4,(0.04475)
560, put,5,(0.05594), odg,5,(0.05594), alt,4,(0.04475)
561, pyr,5,(0.05594), odi,5,(0.05594), asm,4,(0.04475)
562, rac,5,(0.05594), ogo,5,(0.05594), aty,4,(0.04475)
563, rad,5,(0.05594), ogu,5,(0.05594), aus,4,(0.04475)
564, rap,5,(0.05594), omo,5,(0.05594), avy,4,(0.04475)
565, ras,5,(0.05594), oor,5,(0.05594), bbs,4,(0.04475)
566, raz,5,(0.05594), opa,5,(0.05594), bob,4,(0.04475)
567, rel,5,(0.05594), oru,5,(0.05594), bot,4,(0.04475)
568, ric,5,(0.05594), oth,5,(0.05594), bow,4,(0.04475)
569, ril,5,(0.05594), owa,5,(0.05594), cca,4,(0.04475)
570, rin,5,(0.05594), own,5,(0.05594), cha,4,(0.04475)
571, rob,5,(0.05594), oya,5,(0.05594), cho,4,(0.04475)
572, ros,5,(0.05594), pee,5,(0.05594), cin,4,(0.04475)
573, rub,5,(0.05594), poo,5,(0.05594), cle,4,(0.04475)
574, rum,5,(0.05594), rad,5,(0.05594), cot,4,(0.04475)
575, rus,5,(0.05594), raf,5,(0.05594), del,4,(0.04475)
576, sad,5,(0.05594), rag,5,(0.05594), dia,4,(0.04475)
577, sea,5,(0.05594), rak,5,(0.05594), did,4,(0.04475)
578, sed,5,(0.05594), raz,5,(0.05594), die,4,(0.04475)
579, sei,5,(0.05594), rep,5,(0.05594), dus,4,(0.04475)
580, sel,5,(0.05594), rib,5,(0.05594), ebe,4,(0.04475)
581, set,5,(0.05594), rid,5,(0.05594), ede,4,(0.04475)
582, shr,5,(0.05594), rug,5,(0.05594), ein,4,(0.04475)
583, sit,5,(0.05594), ske,5,(0.05594), elt,4,(0.04475)
584, six,5,(0.05594), tee,5,(0.05594), ere,4,(0.04475)
585, ska,5,(0.05594), til,5,(0.05594), ese,4,(0.04475)
586, soa,5,(0.05594), uan,5,(0.05594), eth,4,(0.04475)
587, sof,5,(0.05594), uar,5,(0.05594), eum,4,(0.04475)
588, soo,5,(0.05594), udg,5,(0.05594), ewy,4,(0.04475)
589, sty,5,(0.05594), udi,5,(0.05594), fix,4,(0.04475)
590, tak,5,(0.05594), uit,5,(0.05594), gic,4,(0.04475)
591, taw,5,(0.05594), ula,5,(0.05594), gis,4,(0.04475)
592, tee,5,(0.05594), ulc,5,(0.05594), gma,4,(0.04475)
593, tep,5,(0.05594), uli,5,(0.05594), hos,4,(0.04475)
594, tha,5,(0.05594), ulp,5,(0.05594), ica,4,(0.04475)
595, tok,5,(0.05594), uma,5,(0.05594), ief,4,(0.04475)
596, tot,5,(0.05594), urf,5,(0.05594), ify,4,(0.04475)
597, tou,5,(0.05594), urn,5,(0.05594), iks,4,(0.04475)
598, tut,5,(0.05594), uro,5,(0.05594), imy,4,(0.04475)
599, twe,5,(0.05594), urt,5,(0.05594), ind,4,(0.04475)
600, una,5,(0.05594), utc,5,(0.05594), ino,4,(0.04475)
601, uni,5,(0.05594), uto,5,(0.05594), irr,4,(0.04475)
602, ura,5,(0.05594), wan,5,(0.05594), iry,4,(0.04475)
603, wad,5,(0.05594), yce,5,(0.05594), ism,4,(0.04475)
604, was,5,(0.05594), yri,5,(0.05594), itz,4,(0.04475)
605, wom,5,(0.05594), aco,4,(0.04475), ium,4,(0.04475)
606, wra,5,(0.05594), act,4,(0.04475), ize,4,(0.04475)
607, yaw,5,(0.05594), adg,4,(0.04475), kus,4,(0.04475)
608, yea,5,(0.05594), adr,4,(0.04475), lee,4,(0.04475)
609, you,5,(0.05594), afe,4,(0.04475), lep,4,(0.04475)
610, yuc,5,(0.05594), agi,4,(0.04475), lit,4,(0.04475)
611, abb,4,(0.04475), aho,4,(0.04475), lix,4,(0.04475)
612, aci,4,(0.04475), aik,4,(0.04475), lmy,4,(0.04475)
613, add,4,(0.04475), amu,4,(0.04475), lpa,4,(0.04475)
614, adm,4,(0.04475), aza,4,(0.04475), lse,4,(0.04475)
615, agl,4,(0.04475), bbe,4,(0.04475), lum,4,(0.04475)
616, ago,4,(0.04475), cen,4,(0.04475), mbe,4,(0.04475)
617, ale,4,(0.04475), cul,4,(0.04475), mbi,4,(0.04475)
618, alt,4,(0.04475), cut,4,(0.04475), mey,4,(0.04475)
619, ama,4,(0.04475), dde,4,(0.04475), mor,4,(0.04475)
620, amp,4,(0.04475), dyl,4,(0.04475), nad,4,(0.04475)
621, ano,4,(0.04475), ecc,4,(0.04475), nae,4,(0.04475)
622, ape,4,(0.04475), eco,4,(0.04475), ncy,4,(0.04475)
623, app,4,(0.04475), eem,4,(0.04475), nda,4,(0.04475)
624, ari,4,(0.04475), ees,4,(0.04475), net,4,(0.04475)
625, arm,4,(0.04475), egi,4,(0.04475), ngi,4,(0.04475)
626, arr,4,(0.04475), eir,4,(0.04475), nsy,4,(0.04475)
627, asp,4,(0.04475), eke,4,(0.04475), nth,4,(0.04475)
628, ass,4,(0.04475), elf,4,(0.04475), oas,4,(0.04475)
629, baw,4,(0.04475), elp,4,(0.04475), oil,4,(0.04475)
630, bik,4,(0.04475), epa,4,(0.04475), oin,4,(0.04475)
631, bio,4,(0.04475), ept,4,(0.04475), oly,4,(0.04475)
632, boc,4,(0.04475), erl,4,(0.04475), oma,4,(0.04475)
633, boi,4,(0.04475), esa,4,(0.04475), opt,4,(0.04475)
634, bub,4,(0.04475), esi,4,(0.04475), opy,4,(0.04475)
635, buf,4,(0.04475), ess,4,(0.04475), ord,4,(0.04475)
636, bum,4,(0.04475), etu,4,(0.04475), ors,4,(0.04475)
637, cac,4,(0.04475), evi,4,(0.04475), ory,4,(0.04475)
638, cag,4,(0.04475), gge,4,(0.04475), osh,4,(0.04475)
639, cai,4,(0.04475), haf,4,(0.04475), oys,4,(0.04475)
640, cat,4,(0.04475), has,4,(0.04475), pey,4,(0.04475)
641, cau,4,(0.04475), hat,4,(0.04475), pic,4,(0.04475)
642, cen,4,(0.04475), hen,4,(0.04475), ple,4,(0.04475)
643, cot,4,(0.04475), hes,4,(0.04475), psy,4,(0.04475)
644, cow,4,(0.04475), hia,4,(0.04475), rah,4,(0.04475)
645, cox,4,(0.04475), hip,4,(0.04475), rby,4,(0.04475)
646, coy,4,(0.04475), his,4,(0.04475), rcs,4,(0.04475)
647, coz,4,(0.04475), hou,4,(0.04475), rew,4,(0.04475)
648, cup,4,(0.04475), hre,4,(0.04475), rma,4,(0.04475)
649, cyc,4,(0.04475), hun,4,(0.04475), rmy,4,(0.04475)
650, dan,4,(0.04475), hur,4,(0.04475), rol,4,(0.04475)
651, def,4,(0.04475), idg,4,(0.04475), row,4,(0.04475)
652, dev,4,(0.04475), idi,4,(0.04475), sal,4,(0.04475)
653, dew,4,(0.04475), ien,4,(0.04475), sas,4,(0.04475)
654, dho,4,(0.04475), ilc,4,(0.04475), say,4,(0.04475)
655, dik,4,(0.04475), ili,4,(0.04475), sey,4,(0.04475)
656, dom,4,(0.04475), ilu,4,(0.04475), shi,4,(0.04475)
657, doz,4,(0.04475), inu,4,(0.04475), sus,4,(0.04475)
658, dul,4,(0.04475), iol,4,(0.04475), tle,4,(0.04475)
659, dup,4,(0.04475), ion,4,(0.04475), tol,4,(0.04475)
660, dus,4,(0.04475), ipi,4,(0.04475), tro,4,(0.04475)
661, eas,4,(0.04475), ira,4,(0.04475), uge,4,(0.04475)
662, edi,4,(0.04475), ish,4,(0.04475), uid,4,(0.04475)
663, ela,4,(0.04475), isk,4,(0.04475), ulk,4,(0.04475)
664, eme,4,(0.04475), iso,4,(0.04475), umb,4,(0.04475)
665, end,4,(0.04475), iti,4,(0.04475), uns,4,(0.04475)
666, eno,4,(0.04475), ixi,4,(0.04475), urt,4,(0.04475)
667, eph,4,(0.04475), izz,4,(0.04475), ury,4,(0.04475)
668, eth,4,(0.04475), kel,4,(0.04475), val,4,(0.04475)
669, eve,4,(0.04475), kie,4,(0.04475), vid,4,(0.04475)
670, eyr,4,(0.04475), kin,4,(0.04475), vie,4,(0.04475)
671, fav,4,(0.04475), lag,4,(0.04475), vvy,4,(0.04475)
672, fee,4,(0.04475), lap,4,(0.04475), war,4,(0.04475)
673, fie,4,(0.04475), laz,4,(0.04475), wdy,4,(0.04475)
674, fix,4,(0.04475), lde,4,(0.04475), wly,4,(0.04475)
675, foo,4,(0.04475), len,4,(0.04475), xis,4,(0.04475)
676, fou,4,(0.04475), lep,4,(0.04475), yal,4,(0.04475)
677, fum,4,(0.04475), lew,4,(0.04475), yas,4,(0.04475)
678, gap,4,(0.04475), lif,4,(0.04475), yos,4,(0.04475)
679, gar,4,(0.04475), llo,4,(0.04475), zar,4,(0.04475)
680, gas,4,(0.04475), lna,4,(0.04475), zoo,4,(0.04475)
681, gat,4,(0.04475), lob,4,(0.04475), zos,4,(0.04475)
682, gaw,4,(0.04475), lub,4,(0.04475), aal,3,(0.03356)
683, gee,4,(0.04475), lug,4,(0.04475), aes,3,(0.03356)
684, gel,4,(0.04475), lus,4,(0.04475), aid,3,(0.03356)
685, gha,4,(0.04475), mia,4,(0.04475), ais,3,(0.03356)
686, gig,4,(0.04475), mpe,4,(0.04475), ala,3,(0.03356)
687, gil,4,(0.04475), nap,4,(0.04475), alm,3,(0.03356)
688, gim,4,(0.04475), naw,4,(0.04475), aph,3,(0.03356)
689, gol,4,(0.04475), nco,4,(0.04475), apy,3,(0.03356)
690, gou,4,(0.04475), ncu,4,(0.04475), ari,3,(0.03356)
691, gow,4,(0.04475), nea,4,(0.04475), arl,3,(0.03356)
692, gur,4,(0.04475), nee,4,(0.04475), arn,3,(0.03356)
693, ham,4,(0.04475), nel,4,(0.04475), aut,3,(0.03356)
694, hat,4,(0.04475), nio,4,(0.04475), axy,3,(0.03356)
695, hav,4,(0.04475), nla,4,(0.04475), ban,3,(0.03356)
696, hei,4,(0.04475), nte,4,(0.04475), bec,3,(0.03356)
697, hir,4,(0.04475), ntr,4,(0.04475), bic,3,(0.03356)
698, hoa,4,(0.04475), oan,4,(0.04475), bin,3,(0.03356)
699, hop,4,(0.04475), oas,4,(0.04475), bla,3,(0.03356)
700, hou,4,(0.04475), ocu,4,(0.04475), bor,3,(0.03356)
701, hun,4,(0.04475), odo,4,(0.04475), bre,3,(0.03356)
702, ile,4,(0.04475), oea,4,(0.04475), bye,3,(0.03356)
703, ili,4,(0.04475), oho,4,(0.04475), cap,3,(0.03356)
704, ima,4,(0.04475), oir,4,(0.04475), cee,3,(0.03356)
705, imp,4,(0.04475), olu,4,(0.04475), cet,3,(0.03356)
706, inf,4,(0.04475), ono,4,(0.04475), cey,3,(0.03356)
707, iro,4,(0.04475), onu,4,(0.04475), cht,3,(0.03356)
708, jag,4,(0.04475), ooc,4,(0.04475), cia,3,(0.03356)
709, jap,4,(0.04475), ooz,4,(0.04475), cid,3,(0.03356)
710, jer,4,(0.04475), orb,4,(0.04475), cit,3,(0.03356)
711, jib,4,(0.04475), orc,4,(0.04475), cra,3,(0.03356)
712, jin,4,(0.04475), oro,4,(0.04475), cre,3,(0.03356)
713, jiv,4,(0.04475), orp,4,(0.04475), cro,3,(0.03356)
714, jok,4,(0.04475), osi,4,(0.04475), cta,3,(0.03356)
715, jol,4,(0.04475), otc,4,(0.04475), cur,3,(0.03356)
716, jou,4,(0.04475), oti,4,(0.04475), dar,3,(0.03356)
717, jow,4,(0.04475), owd,4,(0.04475), dds,3,(0.03356)
718, jur,4,(0.04475), owi,4,(0.04475), det,3,(0.03356)
719, kai,4,(0.04475), oxi,4,(0.04475), dex,3,(0.03356)
720, kal,4,(0.04475), oyl,4,(0.04475), don,3,(0.03356)
721, kan,4,(0.04475), oyo,4,(0.04475), dow,3,(0.03356)
722, kop,4,(0.04475), pac,4,(0.04475), dre,3,(0.03356)
723, kra,4,(0.04475), par,4,(0.04475), dro,3,(0.03356)
724, kya,4,(0.04475), pea,4,(0.04475), dst,3,(0.03356)
725, lab,4,(0.04475), pen,4,(0.04475), due,3,(0.03356)
726, lak,4,(0.04475), per,4,(0.04475), ebs,3,(0.03356)
727, lap,4,(0.04475), pie,4,(0.04475), eca,3,(0.03356)
728, lau,4,(0.04475), qui,4,(0.04475), ecs,3,(0.03356)
729, lav,4,(0.04475), raa,4,(0.04475), ect,3,(0.03356)
730, lay,4,(0.04475), rec,4,(0.04475), eic,3,(0.03356)
731, lem,4,(0.04475), red,4,(0.04475), ela,3,(0.03356)
732, lib,4,(0.04475), rew,4,(0.04475), ele,3,(0.03356)
733, lic,4,(0.04475), rgo,4,(0.04475), ema,3,(0.03356)
734, lik,4,(0.04475), rme,4,(0.04475), eme,3,(0.03356)
735, lop,4,(0.04475), rod,4,(0.04475), eon,3,(0.03356)
736, los,4,(0.04475), rog,4,(0.04475), epy,3,(0.03356)
737, lov,4,(0.04475), rok,4,(0.04475), eta,3,(0.03356)
738, lum,4,(0.04475), rov,4,(0.04475), eus,3,(0.03356)
739, mak,4,(0.04475), ruc,4,(0.04475), fas,3,(0.03356)
740, mav,4,(0.04475), rui,4,(0.04475), fit,3,(0.03356)
741, max,4,(0.04475), rut,4,(0.04475), gae,3,(0.03356)
742, med,4,(0.04475), rye,4,(0.04475), gar,3,(0.03356)
743, mia,4,(0.04475), she,4,(0.04475), gel,3,(0.03356)
744, mid,4,(0.04475), sse,4,(0.04475), gil,3,(0.03356)
745, mix,4,(0.04475), tai,4,(0.04475), gor,3,(0.03356)
746, moi,4,(0.04475), tan,4,(0.04475), has,3,(0.03356)
747, mom,4,(0.04475), tar,4,(0.04475), hes,3,(0.03356)
748, mop,4,(0.04475), tea,4,(0.04475), hls,3,(0.03356)
749, mov,4,(0.04475), toa,4,(0.04475), hoo,3,(0.03356)
750, mum,4,(0.04475), tom,4,(0.04475), hor,3,(0.03356)
751, myo,4,(0.04475), ton,4,(0.04475), hrs,3,(0.03356)
752, nan,4,(0.04475), too,4,(0.04475), iac,3,(0.03356)
753, nat,4,(0.04475), top,4,(0.04475), iad,3,(0.03356)
754, nea,4,(0.04475), tor,4,(0.04475), ibs,3,(0.03356)
755, nee,4,(0.04475), tri,4,(0.04475), ich,3,(0.03356)
756, nid,4,(0.04475), tun,4,(0.04475), icy,3,(0.03356)
757, nod,4,(0.04475), uch,4,(0.04475), ido,3,(0.03356)
758, noo,4,(0.04475), uer,4,(0.04475), iga,3,(0.03356)
759, nor,4,(0.04475), ugh,4,(0.04475), ike,3,(0.03356)
760, obe,4,(0.04475), ugu,4,(0.04475), ild,3,(0.03356)
761, obo,4,(0.04475), uir,4,(0.04475), ira,3,(0.03356)
762, ole,4,(0.04475), ulf,4,(0.04475), irp,3,(0.03356)
763, ora,4,(0.04475), umi,4,(0.04475), isk,3,(0.03356)
764, oxi,4,(0.04475), umo,4,(0.04475), jas,3,(0.03356)
765, pay,4,(0.04475), und,4,(0.04475), jes,3,(0.03356)
766, pec,4,(0.04475), upi,4,(0.04475), jis,3,(0.03356)
767, pek,4,(0.04475), uru,4,(0.04475), lal,3,(0.03356)
768, pel,4,(0.04475), uti,4,(0.04475), lea,3,(0.03356)
769, pie,4,(0.04475), uze,4,(0.04475), lex,3,(0.03356)
770, poi,4,(0.04475), ven,4,(0.04475), lio,3,(0.03356)
771, pok,4,(0.04475), wai,4,(0.04475), lop,3,(0.03356)
772, pom,4,(0.04475), yer,4,(0.04475), lor,3,(0.03356)
773, pon,4,(0.04475), yla,4,(0.04475), lot,3,(0.03356)
774, pop,4,(0.04475), yne,4,(0.04475), low,3,(0.03356)
775, rab,4,(0.04475), yra,4,(0.04475), lpy,3,(0.03356)
